2025-07-28 12:43:16 | ep 01 | step 0/433 | loss 4.2167 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:43:17 | ep 01 | step 1/433 | loss 4.1702 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:43:18 | ep 01 | step 2/433 | loss 4.1410 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:43:19 | ep 01 | step 3/433 | loss 4.1092 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:43:19 | ep 01 | step 4/433 | loss 4.0756 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:43:20 | ep 01 | step 5/433 | loss 4.0433 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:43:21 | ep 01 | step 6/433 | loss 3.9779 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:43:22 | ep 01 | step 7/433 | loss 3.9176 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:43:22 | ep 01 | step 8/433 | loss 3.8747 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:43:23 | ep 01 | step 9/433 | loss 3.8319 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:43:24 | ep 01 | step 10/433 | loss 3.8141 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:43:25 | ep 01 | step 11/433 | loss 3.8580 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:43:25 | ep 01 | step 12/433 | loss 3.6817 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:43:26 | ep 01 | step 13/433 | loss 3.6220 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:43:27 | ep 01 | step 14/433 | loss 3.5452 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:43:28 | ep 01 | step 15/433 | loss 3.4623 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:43:28 | ep 01 | step 16/433 | loss 3.6193 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:43:29 | ep 01 | step 17/433 | loss 3.4817 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:43:30 | ep 01 | step 18/433 | loss 3.4587 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:43:31 | ep 01 | step 19/433 | loss 3.4437 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:43:32 | ep 01 | step 20/433 | loss 3.4365 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:43:32 | ep 01 | step 21/433 | loss 3.4345 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:43:33 | ep 01 | step 22/433 | loss 3.3236 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:43:34 | ep 01 | step 23/433 | loss 3.4333 | v_img 1.02e+00 | v_tab 1.02e+00
